y*****n;2;"Bagus sih, tapi sayang banget.. 
Brand sekelas erigo ini gak bisa ngejaga kualitas. 
Dari jahitan yg kurang kuat, banyak benang yg belum dibuang, ditambah lubang leher gak presisi, jadi kalo dipake miring terus, label juga gak ditengah, malah dipinggir. 
Tingkatin lagi kualitas dan QC nya. "
y*****n;2;"Bagus sih, tapi sayang banget.. 
Brand sekelas erigo ini gak bisa ngejaga kualitas. 
Dari jahitan yg kurang kuat, banyak benang yg belum dibuang, ditambah lubang leher gak presisi, jadi kalo dipake miring terus, label juga gak ditengah, malah dipinggir. 
Tingkatin lagi kualitas dan QC nya. "
b*****h;2;luarnya bagus lembut bahanya, tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor, di cuci juga sama masih aja nempel
y*****n;2;"Bagus sih, tapi sayang banget.. 
Brand sekelas erigo ini gak bisa ngejaga kualitas. 
Dari jahitan yg kurang kuat, banyak benang yg belum dibuang, ditambah lubang leher gak presisi, jadi kalo dipake miring terus, label juga gak ditengah, malah dipinggir. 
Tingkatin lagi kualitas dan QC nya. "
b*****h;2;luarnya bagus lembut bahanya, tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor, di cuci juga sama masih aja nempel
y*****n;2;"Bagus sih, tapi sayang banget.. 
Brand sekelas erigo ini gak bisa ngejaga kualitas. 
Dari jahitan yg kurang kuat, banyak benang yg belum dibuang, ditambah lubang leher gak presisi, jadi kalo dipake miring terus, label juga gak ditengah, malah dipinggir. 
Tingkatin lagi kualitas dan QC nya. "
b*****h;2;luarnya bagus lembut bahanya, tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor, di cuci juga sama masih aja nempel
b*****h;2;luarnya bagus lembut bahanya, tapi dalemnya kaya berbulu terus nempel ke seragam bikin seragam kotor, di cuci juga sama masih aja nempel
nariya31_;2;"Lama aja dari penjual nya . 
tapi kualitas nya OKEEE bingittttsssssss"
nariya31_;2;"Lama aja dari penjual nya . 
tapi kualitas nya OKEEE bingittttsssssss"
nariya31_;2;"Lama aja dari penjual nya . 
tapi kualitas nya OKEEE bingittttsssssss"
